id,question,title,text,answer,label
37bce7cfc34d4bf9b81e340c5345384c,Ai là thủ tướng Ấn Độ hiện tại,Ai là thủ tướng Ấn Độ hiện tại,Thủ tướng Ấn Độ sắp sang Mỹ gặp ông Trump mua vũ khí,NaN,True
8af074fb95c941b485c120e2ddbcc7c8,Ai là thủ tướng Ấn Độ hiện tại,Ai là thủ tướng Ấn Độ hiện tại,"Narendra Damodardas Modi ( tiếng Gujarat : નરેન્દ્ર દામોદરદાસ મોદી , [ nəreːnd̪rə d̪ɑːmoːd̪ərəd̪ɑːsə moːd̪iː ] ( nghe ) , tiếng Hindi : नरेन्द्र दामोदरदास मोदी , sinh ngày 17 tháng 9 năm 1950 ) là Thủ tướng Ấn Độ thứ 15 . Ông là thủ lĩnh của đảng Bharatiya Janata ( đảng Nhân dân ) , từng giữ chức Thủ tịch bộ trưởng Gujarat từ năm 2001 đến năm 2014 . Ông đại diện cho Varanasi tại Lok Sabha .",Narendra Damodardas Modi,False
4d8ce4afc5ed4364ad70fc4384eff08b,Ai là thủ tướng Ấn Độ hiện tại,Ai là thủ tướng Ấn Độ hiện tại,- Google hôm 3/6 đã xin lỗi Thủ tướng Ấn Độ Narendra Modi sau khi hình ảnh của ông xuất hiện trong kết quả tìm kiếm cho yêu cầu “ 10 tội phạm hàng đầu ” .,Narendra Modi,False
ded17c6beaa746eebe531b3dd2b0f573,Ai là thủ tướng Ấn Độ hiện tại,Ai là thủ tướng Ấn Độ hiện tại,thủ tướng thăm Ấn Độ Nguyễn Xuân Phúc ASEAN thủ tướng Ấn Độ Nguyễn Xuân Phúc,NaN,True
4e03f08a78b744a48f0f380441a227f4,Ai là thủ tướng Ấn Độ hiện tại,Ai là thủ tướng Ấn Độ hiện tại,"Tin tức về chủ đề "" Thủ tướng Ấn Độ Narendra Modi """,Narendra Modi,False
466c9f2d27294080918eb20a0beb0197,Ai là chủ tịch tập đoàn Hòa Phát,Ai là chủ tịch tập đoàn Hòa Phát,"Ngày hôm nay , trên các diễn đàn tài chính chứng khoán xuất hiện tin đồn về ông Trần Đình Long - Chủ tịch Tập đoàn Hoà Phát ( mã HPG ) đã "" hạ thế "" vì đột quỵ và thông tin này chưa được công bố .",Trần Đình Long,False
c01b0cf819404ca6811ee0dfb436e7d6,Ai là chủ tịch tập đoàn Hòa Phát,Ai là chủ tịch tập đoàn Hòa Phát,Chủ tịch Tập đoàn Hoà Phát Trần Đình Long ' hạ thế ' là tin đồn nhảm ! - Doanh nghiệp - NDH.vn,Trần Đình Long,False
31c6f2e28272409ca8a853fdcdffb376,Ai là chủ tịch tập đoàn Hòa Phát,Ai là chủ tịch tập đoàn Hòa Phát,"Ông Trần Đình Long , Chủ tịch Tập đoàn Hoà Phát đã vượt nữ tỷ phú Phương Thảo để trở thành người giàu thứ 3 trên sàn chứng khoán Việt , với khối tài sản xấp xỉ 1 tỷ USD .",Trần Đình Long,False
1312b533ee0c449d8fca119c44f7eed2,Ai là chủ tịch tập đoàn Hòa Phát,Ai là chủ tịch tập đoàn Hòa Phát,"Doanh nhân Trần Đình Long , Chủ tịch HĐQT Tập đoàn Hoà Phát : Thép vẫn là bánh mỳ của công nghiệp",Trần Đình Long,False
6adb19531929405f98ef92cde77c79a4,Ai là chủ tịch tập đoàn Hòa Phát,Ai là chủ tịch tập đoàn Hòa Phát,"Ông Trần Đình Long , Chủ tịch Hội đồng Quản trị Tập đoàn Hoà Phát ( mã chứng khoán HPG ) đã trở lại danh sách tỷ phú USD ...",Trần Đình Long,False
